"Statistic Label","Year","Age Group","NUTS 3 Region","UNIT","VALUE"
"Total period of fertility rate","1975","25 - 29 years","South-East","%",""
"Total period of fertility rate","1975","25 - 29 years","South-West","%",""
"Total period of fertility rate","1975","25 - 29 years","West","%",""
"Total period of fertility rate","1975","25 - 29 years","Ireland","%",""
"Total period of fertility rate","1975","30 - 34 years","Border","%",""
"Total period of fertility rate","1975","30 - 34 years","Dublin","%",""
"Total period of fertility rate","1975","30 - 34 years","Mid-East","%",""
"Total period of fertility rate","1975","30 - 34 years","Midland","%",""
"Total period of fertility rate","1975","30 - 34 years","Mid-West","%",""
"Total period of fertility rate","1975","30 - 34 years","South-East","%",""
"Total period of fertility rate","1975","30 - 34 years","South-West","%",""
"Total period of fertility rate","1975","30 - 34 years","West","%",""
"Total period of fertility rate","1975","30 - 34 years","Ireland","%",""
"Total period of fertility rate","1975","35 - 39 years","Border","%",""
"Total period of fertility rate","1975","35 - 39 years","Dublin","%",""
"Total period of fertility rate","1975","35 - 39 years","Mid-East","%",""
"Total period of fertility rate","1975","35 - 39 years","Midland","%",""
"Total period of fertility rate","1975","35 - 39 years","Mid-West","%",""
"Total period of fertility rate","1975","35 - 39 years","South-East","%",""
"Total period of fertility rate","1975","35 - 39 years","South-West","%",""
"Total period of fertility rate","1975","35 - 39 years","West","%",""
"Total period of fertility rate","1975","35 - 39 years","Ireland","%",""
"Total period of fertility rate","1975","40 - 44 years","Border","%",""
"Total period of fertility rate","1975","40 - 44 years","Dublin","%",""
"Total period of fertility rate","1975","40 - 44 years","Mid-East","%",""
"Total period of fertility rate","1975","40 - 44 years","Midland","%",""
"Total period of fertility rate","1975","40 - 44 years","Mid-West","%",""
"Total period of fertility rate","1975","40 - 44 years","South-East","%",""
"Total period of fertility rate","1975","40 - 44 years","South-West","%",""
"Total period of fertility rate","1975","40 - 44 years","West","%",""
"Total period of fertility rate","1975","40 - 44 years","Ireland","%",""
"Total period of fertility rate","1975","45 - 49 years","Border","%",""
"Total period of fertility rate","1975","45 - 49 years","Dublin","%",""
"Total period of fertility rate","1975","45 - 49 years","Mid-East","%",""
"Total period of fertility rate","1975","45 - 49 years","Midland","%",""
"Total period of fertility rate","1975","45 - 49 years","Mid-West","%",""
"Total period of fertility rate","1975","45 - 49 years","South-East","%",""
"Total period of fertility rate","1975","45 - 49 years","South-West","%",""
"Total period of fertility rate","1975","45 - 49 years","West","%",""
"Total period of fertility rate","1975","45 - 49 years","Ireland","%",""
"Total period of fertility rate","1976","All ages","Border","%",""
"Total period of fertility rate","1976","All ages","Dublin","%",""
"Total period of fertility rate","1976","All ages","Mid-East","%",""
"Total period of fertility rate","1976","All ages","Midland","%",""
"Total period of fertility rate","1976","All ages","Mid-West","%",""
"Total period of fertility rate","1976","All ages","South-East","%",""
"Total period of fertility rate","1976","All ages","South-West","%",""
"Total period of fertility rate","1976","All ages","West","%",""
"Total period of fertility rate","1976","All ages","Ireland","%","3.31"
"Total period of fertility rate","1976","15 - 19 years","Border","%",""
"Total period of fertility rate","1976","15 - 19 years","Dublin","%",""
"Total period of fertility rate","1976","15 - 19 years","Mid-East","%",""
"Total period of fertility rate","1976","15 - 19 years","Midland","%",""
"Total period of fertility rate","1976","15 - 19 years","Mid-West","%",""
"Total period of fertility rate","1976","15 - 19 years","South-East","%",""
"Total period of fertility rate","1976","15 - 19 years","South-West","%",""
"Total period of fertility rate","1976","15 - 19 years","West","%",""
"Total period of fertility rate","1976","15 - 19 years","Ireland","%",""
"Total period of fertility rate","1976","20 - 24 years","Border","%",""
"Total period of fertility rate","1976","20 - 24 years","Dublin","%",""
"Total period of fertility rate","1976","20 - 24 years","Mid-East","%",""
"Total period of fertility rate","1976","20 - 24 years","Midland","%",""
"Total period of fertility rate","1976","20 - 24 years","Mid-West","%",""
"Total period of fertility rate","1976","20 - 24 years","South-East","%",""
"Total period of fertility rate","1976","20 - 24 years","South-West","%",""
"Total period of fertility rate","1976","20 - 24 years","West","%",""
"Total period of fertility rate","1976","20 - 24 years","Ireland","%",""
"Total period of fertility rate","1976","25 - 29 years","Border","%",""
"Total period of fertility rate","1976","25 - 29 years","Dublin","%",""
"Total period of fertility rate","1976","25 - 29 years","Mid-East","%",""
"Total period of fertility rate","1976","25 - 29 years","Midland","%",""
"Total period of fertility rate","1976","25 - 29 years","Mid-West","%",""
"Total period of fertility rate","1976","25 - 29 years","South-East","%",""
"Total period of fertility rate","1976","25 - 29 years","South-West","%",""
"Total period of fertility rate","1976","25 - 29 years","West","%",""
"Total period of fertility rate","1976","25 - 29 years","Ireland","%",""
"Total period of fertility rate","1976","30 - 34 years","Border","%",""
"Total period of fertility rate","1976","30 - 34 years","Dublin","%",""
"Total period of fertility rate","1976","30 - 34 years","Mid-East","%",""
"Total period of fertility rate","1976","30 - 34 years","Midland","%",""
"Total period of fertility rate","1976","30 - 34 years","Mid-West","%",""
"Total period of fertility rate","1976","30 - 34 years","South-East","%",""
"Total period of fertility rate","1976","30 - 34 years","South-West","%",""
"Total period of fertility rate","1976","30 - 34 years","West","%",""
"Total period of fertility rate","1976","30 - 34 years","Ireland","%",""
"Total period of fertility rate","1976","35 - 39 years","Border","%",""
"Total period of fertility rate","1976","35 - 39 years","Dublin","%",""
"Total period of fertility rate","1976","35 - 39 years","Mid-East","%",""
"Total period of fertility rate","1976","35 - 39 years","Midland","%",""
"Total period of fertility rate","1976","35 - 39 years","Mid-West","%",""
"Total period of fertility rate","1976","35 - 39 years","South-East","%",""
"Total period of fertility rate","1976","35 - 39 years","South-West","%",""
"Total period of fertility rate","1976","35 - 39 years","West","%",""
"Total period of fertility rate","1976","35 - 39 years","Ireland","%",""
"Total period of fertility rate","1976","40 - 44 years","Border","%",""
"Total period of fertility rate","1976","40 - 44 years","Dublin","%",""
"Total period of fertility rate","1976","40 - 44 years","Mid-East","%",""
"Total period of fertility rate","1976","40 - 44 years","Midland","%",""
"Total period of fertility rate","1976","40 - 44 years","Mid-West","%",""
"Total period of fertility rate","1976","40 - 44 years","South-East","%",""
"Total period of fertility rate","1976","40 - 44 years","South-West","%",""
"Total period of fertility rate","1976","40 - 44 years","West","%",""
"Total period of fertility rate","1976","40 - 44 years","Ireland","%",""
"Total period of fertility rate","1976","45 - 49 years","Border","%",""
"Total period of fertility rate","1976","45 - 49 years","Dublin","%",""
"Total period of fertility rate","1976","45 - 49 years","Mid-East","%",""
"Total period of fertility rate","1976","45 - 49 years","Midland","%",""
"Total period of fertility rate","1976","45 - 49 years","Mid-West","%",""
"Total period of fertility rate","1976","45 - 49 years","South-East","%",""
"Total period of fertility rate","1976","45 - 49 years","South-West","%",""
"Total period of fertility rate","1976","45 - 49 years","West","%",""
"Total period of fertility rate","1976","45 - 49 years","Ireland","%",""
"Total period of fertility rate","1977","All ages","Border","%",""
"Total period of fertility rate","1977","All ages","Dublin","%",""
"Total period of fertility rate","1977","All ages","Mid-East","%",""
"Total period of fertility rate","1977","All ages","Midland","%",""
"Total period of fertility rate","1977","All ages","Mid-West","%",""
"Total period of fertility rate","1977","All ages","South-East","%",""
"Total period of fertility rate","1977","All ages","South-West","%",""
"Total period of fertility rate","1977","All ages","West","%",""
"Total period of fertility rate","1977","All ages","Ireland","%","3.27"
"Total period of fertility rate","1977","15 - 19 years","Border","%",""
"Total period of fertility rate","1977","15 - 19 years","Dublin","%",""
"Total period of fertility rate","1977","15 - 19 years","Mid-East","%",""
"Total period of fertility rate","1977","15 - 19 years","Midland","%",""
"Total period of fertility rate","1977","15 - 19 years","Mid-West","%",""
"Total period of fertility rate","1977","15 - 19 years","South-East","%",""
"Total period of fertility rate","1977","15 - 19 years","South-West","%",""
"Total period of fertility rate","1977","15 - 19 years","West","%",""
"Total period of fertility rate","1977","15 - 19 years","Ireland","%",""
"Total period of fertility rate","1977","20 - 24 years","Border","%",""
"Total period of fertility rate","1977","20 - 24 years","Dublin","%",""
"Total period of fertility rate","1977","20 - 24 years","Mid-East","%",""
"Total period of fertility rate","1977","20 - 24 years","Midland","%",""
"Total period of fertility rate","1977","20 - 24 years","Mid-West","%",""
"Total period of fertility rate","1977","20 - 24 years","South-East","%",""
"Total period of fertility rate","1977","20 - 24 years","South-West","%",""
"Total period of fertility rate","1977","20 - 24 years","West","%",""
"Total period of fertility rate","1977","20 - 24 years","Ireland","%",""
"Total period of fertility rate","1977","25 - 29 years","Border","%",""
"Total period of fertility rate","1977","25 - 29 years","Dublin","%",""
"Total period of fertility rate","1977","25 - 29 years","Mid-East","%",""
"Total period of fertility rate","1977","25 - 29 years","Midland","%",""
"Total period of fertility rate","1977","25 - 29 years","Mid-West","%",""
"Total period of fertility rate","1977","25 - 29 years","South-East","%",""
"Total period of fertility rate","1977","25 - 29 years","South-West","%",""
