"Statistic Label","Month","Industry Sector NACE Rev 2","UNIT","VALUE"
"Domestic Industrial Price Index (Excl VAT)","2021 August","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 August","Mining and quarrying (05 to 09)","Base Year 2021=100","99.85866344"
"Domestic Industrial Price Index (Excl VAT)","2021 August","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 September","Food products (10)","Base Year 2021=100","100.4703806"
"Domestic Industrial Price Index (Excl VAT)","2021 September","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 September","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 September","Textiles (13)","Base Year 2021=100","101.4960168"
"Domestic Industrial Price Index (Excl VAT)","2021 September","Wearing apparel (14)","Base Year 2021=100","100.1616687"
"Domestic Industrial Price Index (Excl VAT)","2021 September","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 September","Wood and wood products, except furniture (16)","Base Year 2021=100","103.5032192"
"Domestic Industrial Price Index (Excl VAT)","2021 September","Paper and paper products (17)","Base Year 2021=100","100.5921061"
"Domestic Industrial Price Index (Excl VAT)","2021 September","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 September","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 September","Chemicals and chemical products (20)","Base Year 2021=100","99.78683924"
"Domestic Industrial Price Index (Excl VAT)","2021 September","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 September","Rubber and plastic products (22)","Base Year 2021=100","100.7468316"
"Domestic Industrial Price Index (Excl VAT)","2021 September","Other non-metallic mineral products (23)","Base Year 2021=100","100.5748457"
"Domestic Industrial Price Index (Excl VAT)","2021 September","Basic metals (24)","Base Year 2021=100","107.3071494"
"Domestic Industrial Price Index (Excl VAT)","2021 September","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","101.6780598"
"Domestic Industrial Price Index (Excl VAT)","2021 September","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 September","Electrical equipment (27)","Base Year 2021=100","101.2421972"
"Domestic Industrial Price Index (Excl VAT)","2021 September","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 September","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","99.6323566"
"Domestic Industrial Price Index (Excl VAT)","2021 September","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 September","Furniture (31)","Base Year 2021=100","101.0679648"
"Domestic Industrial Price Index (Excl VAT)","2021 September","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 September","Mining and quarrying (05 to 09)","Base Year 2021=100","100.5187275"
"Domestic Industrial Price Index (Excl VAT)","2021 September","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 October","Food products (10)","Base Year 2021=100","100.75772"
"Domestic Industrial Price Index (Excl VAT)","2021 October","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 October","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 October","Textiles (13)","Base Year 2021=100","100.9964421"
"Domestic Industrial Price Index (Excl VAT)","2021 October","Wearing apparel (14)","Base Year 2021=100","100.0366865"
"Domestic Industrial Price Index (Excl VAT)","2021 October","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 October","Wood and wood products, except furniture (16)","Base Year 2021=100","105.1628592"
"Domestic Industrial Price Index (Excl VAT)","2021 October","Paper and paper products (17)","Base Year 2021=100","101.845855"
"Domestic Industrial Price Index (Excl VAT)","2021 October","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 October","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 October","Chemicals and chemical products (20)","Base Year 2021=100","100.7796285"
"Domestic Industrial Price Index (Excl VAT)","2021 October","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 October","Rubber and plastic products (22)","Base Year 2021=100","100.7470367"
"Domestic Industrial Price Index (Excl VAT)","2021 October","Other non-metallic mineral products (23)","Base Year 2021=100","102.6268729"
"Domestic Industrial Price Index (Excl VAT)","2021 October","Basic metals (24)","Base Year 2021=100","111.574039"
"Domestic Industrial Price Index (Excl VAT)","2021 October","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","102.6286284"
"Domestic Industrial Price Index (Excl VAT)","2021 October","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 October","Electrical equipment (27)","Base Year 2021=100","101.2421972"
"Domestic Industrial Price Index (Excl VAT)","2021 October","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 October","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","99.6323566"
"Domestic Industrial Price Index (Excl VAT)","2021 October","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 October","Furniture (31)","Base Year 2021=100","101.0680515"
"Domestic Industrial Price Index (Excl VAT)","2021 October","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 October","Mining and quarrying (05 to 09)","Base Year 2021=100","100.5188843"
